product_count,jancode_count,releasedate_count,manual_count
133640,101631,55080,38199

maker_name,product_count,manual_count
aqua,134,133
ASUS,178,0
BUFFALO,804,804
daikin,105,0
haier,90,90
hitachi,1310,1227
LG,396,40
mitsubishi,17239,12601
paloma,228,228
panasonic,8359,6419
rinnai,171,11
sanyo,2384,1494
sharp,279,259
sony,1301,1096
tiger,386,383
toshiba,2022,1518
toyotomi,89,89
パナソニック,10353,1293
象印マホービン,648,293
レノボ・ジャパン,350,0
プレアデスシステムデザイン,9,0
NECパーソナルコンピュータ,170,91
AppleJapan(同),187,15
富士通,393,29
日本エイサー,184,0
東芝,1419,567
ソニー,1431,227
日本電気,270,52
エムエスアイコンピュータジャパン,15,0
イーバランス,56,0
プラスワン・マーケティング,16,0
恵安,32,0
デル,30,0
VAIO,13,0
エプソン販売,602,49
日本ヒューレット・パッカード,167,1
パワーサポート,1,0
バッファロー,138,1
ダイワボウ情報システム,5,0
サンワサプライ,573,243
クリエイティブ・メディア,95,0
日本アンテナ,17,0
エレコム,606,60
フォスター電機,111,0
ボーズ,163,15
ディーアンドエムホールディングス,639,9
ロジクール,70,0
ローランド,10,0
ハーマンインターナショナル,259,2
東芝エルイートレーディング,90,3
オーディオテクニカ,628,26
ロッキーインターナショナル,85,0
ティアック,286,1
プリンストン,104,0
イメーション,141,2
マッドキャッツ,58,0
アイピーフォー,4,0
セルサス,2,0
ラドンナ,58,2
ヤマハ,259,16
オオアサ電子,8,0
磁気研究所,7,0
デバイスネット,13,0
イーフロンティア,48,0
完実電気,536,2
日本マース,48,0
テックウインド,12,0
アイティプロテック,2,0
beatsbydr.dre,104,0
アユート,8,0
アイネックス,1,0
システムトークス,23,0
東和電子,32,0
プランニングDO,26,0
ヤザワコーポレーション,379,26
JVCケンウッド,896,94
キングジム,9,0
加賀ハイテック,15,0
マクサー電機,20,0
元林,14,0
パイオニア,304,30
イデアインターナショナル,147,0
オンキヨー,248,67
花皇,20,0
ロックリッジサウンドジャパン,10,0
ヒビノ,16,0
エクセルサウンド,15,0
日立マクセル,197,3
アスク,50,0
オリンパス,389,146
ナカバヤシ,29,0
ブルーネクストジャパン,13,0
CAVジャパン,48,2
コムトップ,8,0
富士通テン,27,1
クリプトン,12,0
BLUEDOT,22,7
ロジテック,160,69
ドリームズ,72,0
タイムリー,12,0
エスエンピーネット,1,1
MSY,25,0
オタリテック,16,0
タイムドメイン,2,0
STAYER,12,0
エアリア,5,0
ドウシシャ,514,23
トリニティ,21,0
LGElectronicsJapan,22,10
MARSHAL,3,0
タックルプランニング,10,0
OPPODigitalJapan,4,0
イーサプライズ,6,0
オンキヨーデジタルソリューションズ,3,0
オーム電機,730,72
テクニカルオーディオデバイセズラボラトリーズ,1,0
セントレードM.E.,50,0
ビエスタイル,18,0
朝日電器,426,36
MISAKI,5,0
ワンアップ,17,0
ニュマークジャパンコーポレーション,4,0
フォーカルポイントコンピューター,42,0
トライオード,61,0
ランドポート,16,0
アルペックス,59,0
GNネットコムジャパン,63,0
プラマイゼロ,97,0
スリーアップ,345,0
アイリスオーヤマ,755,249
オークローンマーケティング,43,0
日立アプライアンス,1124,454
オンライン生活,3,0
リョービ,123,3
ナカトミ,114,24
グリーンウッド,25,6
ベルソス,112,0
カラークリエーション,5,0
山善,846,21
シー・シー・ピー,101,11
トラスコ中山,92,0
シャープ,867,373
フカダック,43,0
ツインバード工業,396,232
高敏,69,0
ポップリベット・ファスナー,120,6
直村企画,6,0
ボッシュ,23,1
SIS,102,0
スイデン,66,16
テレビショッピング研究所,10,0
イトーヨーカ堂,1,0
山崎産業,27,0
水本機械製作所,317,0
アクアシステム,5,0
マックス,199,0
サンテックオプト,26,0
仲佐,33,6
プラス,33,0
アイム,3,0
ニトムズ,13,0
KoboldJapan,12,0
ツカモトエイム,110,42
サン,12,0
モダンロイヤル,3,0
アマノ,11,0
日立工機,1460,49
新潟精機,102,0
MonotaRO,9,0
神田無線電機,48,0
小泉成器,610,14
COSTELJAPAN,8,0
ドリテック,339,42
ピーナッツクラブ,67,0
高儀,119,0
永山,1,0
東浜商事,2,0
D'zSTYLE,4,0
スマートライフソリューションズ,7,0
三菱電機,679,183
BMXrobotJapan,2,0
フカイ工業,49,18
ニルフィスク,5,0
三栄コーポレーション,129,9
ガイズ,22,0
遠藤商事,228,0
エコバックスジャパン,24,0
ハイアールアジア,125,6
東部大宇電子ジャパン,18,0
セラヴィ,156,0
ビグソン,1,0
クマザキエイム,32,0
日立コンシューマ・マーケティング,133,41
わがんせ,28,0
インダストリーコーワ,16,0
CommPlusBiz,1,0
エアージェイ,58,0
アピックスインターナショナル,174,1
フィフティ,73,0
マクロス,126,0
吉井電気,65,0
ビッグフィールド,8,0
マリン商事,14,0
マーナ,12,0
ヒルトップ,12,0
伊勢藤,2,0
ピーシーあきんど,46,2
因幡電機産業,15,0
ダイキン工業,386,4
富士通ゼネラル,160,64
マキコーポレーション,4,0
三菱重工業,61,0
ハイアールジャパンセールス,127,48
フソー化成,5,0
コロナ,594,378
トヨトミ,381,221
ダイアン・サービス,6,0
コイズミ照明,1814,9
オーデリック,2359,0
インターフォルム,472,0
YAMAGIWA,72,2
東芝ライテック,1210,321
NECライティング,282,20
山田照明,811,101
アグレッド,192,0
キシマ,129,0
ディクラッセ,113,0
スワン電器,118,1
大光電機,3399,789
興和,57,4
長澤ライティング,43,0
日本グローバル照明,18,0
アプロス,7,0
山佐時計計器,72,0
タニタ,315,122
オムロンヘルスケア,265,140
テルモ,5,0
セイコーウオッチ,70,0
シチズン・システムズ,41,2
ピップ,2,0
リズム時計工業,42,0
ヘルスエンジン,10,0
ドンキーボックス,32,0
アイトック,7,0
バンダイ,1,0
クレファー,11,0
ケンコー・トキナー,552,12
ニード,1,0
ワイナック,11,0
アスカ,8,0
アルインコ,48,1
タカラトミーアーツ,22,0
佐藤計量器製作所,13,0
富士パックス販売,11,0
コンテック,24,0
リーベックス,28,0
新東電器,5,0
パアグ,4,0
アネックス,2,0
蛇の目ミシン工業,57,1
日本電興,24,0
リンナイ,768,215
高須産業,65,0
ハッピー金属工業,1,0
ケイ・ジー・ワイ工業,1,0
MSソリューションズ,25,0
TOTO,402,2
アーランド,4,0
LIXIL,100,5
センター商事,11,0
三洋電機,62,11
睦技研,1,0
保土ヶ谷電子販売,1,0
アイオン,2,0
サヌキ,3,0
ホンマ製作所,36,0
セトクラフト,5,0
ノグチ,1,0
富士通ビー・エス・シー,1,0
マッキンリーネクスト,11,0
テスコム,376,222
泉精器製作所,178,72
旭電機化成,31,0
オムロン,2,0
新世代,1,0
HEATEC,15,0
阪和,181,8
アイホン,66,0
セントラル工商,1,0
ミツギロン,21,0
パロマ,355,31
オーエス,118,1
ナレッジ・デザイン,1,0
アテックス,121,0
森永エンジニアリング,7,0
ゼンケン,55,0
静岡製機,22,0
ツインズ,26,0
千住,185,10
椙山紡織,97,0
ブレイン,10,0
オリオン機械,14,0
デンソー,12,0
ユーイング,189,29
サンポット,52,36
ユアサプライムス,323,1
センタック,37,0
華芝ジャパン,18,0
富士ホーロー,9,1
工進,25,0
メトロ電気工業,43,0
TSUTAYASTATIONERYNETWORK,4,0
ダイニチ工業,365,311
日本エー・アイ・シー,78,40
ディンプレックス・ジャパン,18,1
シィー・ネット,33,0
クレオ工業,12,0
エルテック,8,0
エスケイジャパンセールス,63,6
広電,358,0
オークセール,117,25
日本ゼネラル・アプライアンス,73,7
津田商事,4,0
グリム,5,0
ヤーマン,185,7
東芝ライフスタイル,9,1
ロゼンスター,70,0
HUNTKEYJAPAN,1,0
日油技研工業,7,0
P&G,55,6
フジ医療器,55,42
トリコインダストリーズ,27,0
(同)ShuyokaPartners,11,0
MTG,45,0
バイリーンクリエイト,7,0
bnb,2,0
Gクラッセ,21,0
日本ウォール,31,0
オムニ,37,0
ニシトモ,5,0
素数,14,0
明成,1,0
クレハ合繊,7,0
マイクロソリューション,18,0
ファーストレイト,5,0
サムスン電子ジャパン,8,0
ビューティフルエンジェル,5,0
クロシオ,31,0
パラマ・テック,2,0
共立ドクターズラボ,1,0
日興ファインズ工業,1,0
P&G（海外）,92,46
大東電機工業,89,46
クルールラボ,8,0
山二,3,0
マルタカテクノ,4,1
ナジャペレーネ,1,0
丸隆,31,1
シナジートレーディング,30,0
杉山金属,51,0
クイジナートサンエイ,168,30
タイガー魔法瓶,495,184
ティ・ユー・エフ,5,0
和平フレイズ,108,1
デロンギ・ジャパン,157,48
石崎電機製作所,26,0
三ッ谷電機,35,0
エムケー精工,21,11
HARIO,88,1
中央産業,19,1
ティー・エム・ワイ,22,0
グリーンハウス,164,78
ネスレ日本,71,2
日本炭酸瓦斯,2,0
KNチヨダ,31,1
アルファックス・コイズミ,18,1
三洋化成,10,0
Time&Space,6,0
タイジ,13,0
キヤノン,720,187
岩谷産業,38,12
ソリッドアライアンス,20,0
ノア,7,0
Dels,4,0
新津興器,44,0
シービージャパン,9,0
ニシヤマ,42,0
矢嶋屋,6,0
東京瓦斯,138,0
ソウイジャパン,7,0
デジタルランド,1,0
富士珈機,2,0
日本ニーダー,24,0
シェルタートレーディング,16,0
アサヒ,37,0
I.B.S,1,0
マルコメ,1,0
カンサイ,28,0
CJプライムショッピング,44,0
エフ・エム・アイ,56,6
タマハシ,73,1
イサムコーポレーション,54,0
山本電気,23,7
下村工業,19,2
日本グリーンパックス,2,0
中部コーポレーション,20,0
燦坤日本電器,39,1
パール金属,131,0
福農産業,5,0
ブラザー工業,267,73
リコー,125,7
エステー産業,6,0
アクティス,16,0
コクヨS&T,11,0
エコリカ,6,0
アイ・オー・データ機器,92,63
ベンキュージャパン,65,2
サンコー,101,0
EIZO,136,91
エーディテクノ,41,0
マウスコンピューター,80,0
NECディスプレイソリューションズ,237,85
三菱電機エンジニアリング,11,0
クイックサンプロダクツ,10,0
カシオ計算機,134,48
センチュリー,34,0
ウィンテクノ,29,0
スリーエムジャパン,15,0
フューチャーコネクト,2,0
カモン,258,4
ハンファ・ジャパン,17,0
カラテック,10,0
すまいる,4,0
ワコム,3,0
ビーズ,8,0
長尾製作所,11,0
日本フォームサービス,8,0
日晴金属,4,0
フォーサイト,1,0
プラネックスコミュニケーションズ,10,2
ドスパラ,2,0
ルーメン,6,0
イッセイ工業,2,0
オウルテック,4,0
内田洋行,6,0
エスエスエーサービス,17,0
アルファーテック,5,0
アドトロンテクノロジー,22,0
馬印,1,0
キャストレード,2,0
スペックス,1,0
ハヤミ工産,16,0
クックパッドベビー,1,0
ルックイースト,8,0
ニコン,465,157
富士フィルム,197,54
リコーイメージング,364,56
GLOBAL・DC,4,0
アントレックス,52,0
ライカカメラジャパン,137,5
ゲットイット,2,0
TOKYOTRADING,20,0
レッドスパイス,18,0
サミット・グローバル・ジャパン,23,0
Qlix,8,0
マスプロ電工,37,0
キヤノンマーケティングジャパン,78,8
藤田食糧物産,2,0
ケンコープロフェショナルイメージング,11,0
エルモ社,13,0
HOYA,185,8
DKSHジャパン,9,0
京セラ,87,0
マミヤ・デジタル・イメージング,22,0
チノン,3,0
エー・パワー,106,0
GOKOカメラ,1,0
タムロン,92,1
コシナ,154,0
トダ精光,11,0
ニコンイメージングジャパン,2,0
興和新薬,26,7
ニッシンジャパン,1,0
イーグルエンタープライズ,3,0
とうしょう,14,0
オルトフォンジャパン,47,0
ラックスマン,95,1
日本コロムビア,52,0
メース,342,0
東志,32,0
CECホールディングス,37,0
ジェネシスホールディングス,17,0
TOA,22,0
ヴァーテックス,63,0
エスキュービズム通商,20,0
城下工業,9,0
エスケイネット,8,0
DYNAUDIOJAPAN,10,0
アドフィールド,7,0
リリック,3,0
ナスペック,286,0
協同電子エンジニアリング,14,2
コルグ,9,0
日本精機宝石工業,22,0
アール・ダブリュー・シー,6,0
スペック,7,1
ナガオカトレーディング,36,1
佐藤商事,4,0
日光トレーディング,6,0
ポーカロ・ライン,12,0
ベスタクス,6,0
小柳出電気商会,80,0
広華物産,62,0
ナカミチ販売,1,0
REALLIFEJAPAN,41,0
ゾックス,18,1
ダイニチ電子,4,0
カイホウジャパン,12,0
DXアンテナ,22,1
プロスペック,8,0
アズマ,24,0
マザーツール,9,0
コロナ電業,2,0
ジェイ・ヴォックス,1,0
コモライフ,87,0
池商,14,0
トップロード,6,0
ガードフォースジャパン,49,2
混沌レコード,4,0
シーマ・ラボラトリー,5,0
AKART,6,0
太陽誘電,1,0
レボリューション,8,0
スタート・ラボ,2,0
アペリアフューズ,6,0
三菱化学,1,0
富士メディック,6,0
ドリームファクトリー,12,0
ヴァルテックス,11,0
ベストキャリー,6,0
ファミリーイナダ,44,36
的場電機製作所,12,0
ワコートレーディング,11,0
東京企画販売,13,0
寺西商事,17,1
ファイテン,2,0
日本オムニグロー,3,0
ホーマーイオン研究所,1,0
ほんやら堂,1,0
アレック,2,0
フジキン,26,1
メテックス,24,0
川崎精機製作所,8,0
イモタニ,18,0
電響社,97,1
タバタ,6,0
コーポ,1,0
